having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
Yes,Medium,No,,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Medium,Empty,Yes,Yes,No,No,Yes,No,Yes,Short,No,Medium,,Yes,Two links and above,Reported,Phish
No,Medium,No,Yes,No,No,More than one,Short,Yes,Yes,No,Yes,Medium,Medium,Empty,No,No,No,Yes,Yes,Yes,Yes,Long,Yes,High,Low,Yes,No links,Not reported,Phish
Yes,Medium,No,Yes,Yes,No,More than one,Short,Yes,Yes,No,Yes,Medium,High,,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,No,,High,Yes,Some links,Reported,Phish
Yes,,Yes,,Yes,No,One,Long,Yes,Yes,Yes,No,Medium,Medium,Empty,No,No,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,No links,Not reported,Phish
Yes,Long,No,Yes,Yes,Yes,None,Short,Yes,Yes,No,Yes,Medium,,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,No,High,Low,Yes,No links,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,None,Long,Yes,Yes,,No,,Low,,No,No,No,Yes,Yes,Yes,Yes,,No,Low,High,Yes,No links,Not reported,Phish
Yes,Long,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,Yes,Medium,,Empty,No,No,No,No,No,No,No,Long,No,Medium,Low,Yes,Some links,Not reported,Phish
Yes,Medium,No,Yes,Yes,No,One,Short,Yes,Yes,Yes,Yes,Medium,Medium,Empty,No,No,No,No,Yes,No,Yes,Short,Yes,High,Low,,No links,Not reported,Phish
Yes,Medium,Yes,Yes,Yes,No,One,Long,Yes,Yes,No,No,Medium,Low,Empty,No,No,No,Yes,Yes,Yes,Yes,Short,Yes,Low,,Yes,Some links,Not reported,Phish
Yes,Long,Yes,Yes,Yes,No,None,Short,Yes,Yes,No,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,Medium,Low,,No links,Reported,Phish
Yes,Long,Yes,Yes,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,Medium,Empty,,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,,Low,Yes,No links,Reported,Phish
Yes,Short,No,No,Yes,No,More than one,Short,Yes,Yes,No,No,,Medium,,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,Low,Low,,Some links,Reported,Phish
Yes,Short,,Yes,Yes,No,One,Short,Yes,Yes,Yes,Yes,High,,Empty,,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Short,No,,Yes,Yes,None,Long,Yes,Yes,Yes,No,High,Medium,Empty,No,No,No,Yes,Yes,Yes,Yes,Long,No,Medium,Low,Yes,Some links,Not reported,Phish
Yes,Short,No,Yes,No,Yes,None,Short,Yes,Yes,,,High,Medium,Empty,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Short,,High,Low,,No links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,Yes,High,,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,Yes,High,High,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,None,Short,Yes,Yes,No,Yes,Medium,High,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,No,Low,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,No,None,Short,No,Yes,No,Yes,Medium,Low,Empty,No,No,No,No,Yes,No,No,Long,No,High,High,Yes,Some links,Not reported,Phish
Yes,Short,Yes,,Yes,Yes,More than one,Short,Yes,Yes,Yes,,High,High,Some,No,No,No,Yes,Yes,Yes,Yes,,Yes,Low,Low,,No links,Not reported,Phish
Yes,Medium,Yes,Yes,Yes,No,None,Short,Yes,Yes,Yes,Yes,Medium,High,Empty,No,No,No,Yes,Yes,Yes,Yes,Long,Yes,,Low,,Some links,Not reported,Phish
Yes,Long,Yes,Yes,,Yes,None,Short,Yes,Yes,Yes,Yes,High,Low,Some,No,No,No,Yes,Yes,Yes,Yes,Long,No,High,Low,No,Two links and above,Not reported,Phish
Yes,Short,Yes,Yes,Yes,No,One,Short,Yes,Yes,No,No,High,Medium,,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,No,High,Low,Yes,Some links,Reported,Phish
Yes,Short,Yes,Yes,Yes,Yes,More than one,Short,Yes,Yes,No,Yes,High,Medium,,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,,High,Low,Yes,Some links,Reported,Phish
No,Short,,Yes,No,No,More than one,Short,Yes,Yes,No,Yes,Medium,Low,Empty,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Long,No,,Low,No,No links,Reported,Phish
Yes,Long,Yes,,Yes,No,One,Short,No,Yes,Yes,,Medium,Low,,Yes,Yes,No,No,Yes,No,Yes,Short,Yes,High,,Yes,Some links,Reported,Phish
Yes,Short,Yes,,Yes,No,More than one,Short,Yes,Yes,Yes,Yes,Medium,High,,No,No,No,Yes,Yes,Yes,Yes,Long,Yes,High,Low,No,No links,Not reported,Phish
Yes,Long,,Yes,Yes,No,More than one,Short,No,Yes,Yes,Yes,,Medium,,Yes,Yes,No,No,Yes,No,No,Long,No,Medium,Low,No,Some links,Reported,Phish
No,Short,No,Yes,No,Yes,None,Short,Yes,Yes,No,Yes,High,High,Empty,,No,No,Yes,Yes,Yes,Yes,,No,High,Low,,Some links,Not reported,Phish
No,Short,No,Yes,No,Yes,More than one,Long,Yes,Yes,,Yes,Medium,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,,High,Low,Yes,Two links and above,Reported,Phish
Yes,Long,Yes,Yes,Yes,Yes,One,Short,Yes,Yes,Yes,Yes,Medium,Medium,Some,No,No,No,Yes,Yes,Yes,Yes,Short,,Medium,Low,Yes,Some links,Not reported,Phish
Yes,Short,Yes,Yes,Yes,No,One,Long,Yes,Yes,Yes,No,High,Medium,Empty,No,No,No,Yes,Yes,Yes,Yes,Short,Yes,High,Low,Yes,Some links,Not reported,Phish
Yes,Short,Yes,Yes,Yes,Yes,None,Short,Yes,Yes,No,No,High,Low,Empty,No,No,No,Yes,Yes,Yes,Yes,Long,Yes,Medium,Low,Yes,Some links,Not reported,Phish
Yes,,Yes,Yes,,No,More than one,Short,Yes,Yes,Yes,Yes,,Medium,Empty,No,No,No,Yes,Yes,Yes,Yes,Long,Yes,High,High,,Some links,Not reported,Phish
No,Short,No,Yes,No,No,More than one,Short,Yes,Yes,No,Yes,Medium,Low,Empty,No,No,No,Yes,Yes,Yes,Yes,Long,Yes,High,High,Yes,No links,Not reported,Phish
Yes,Short,Yes,Yes,No,Yes,None,Short,Yes,Yes,,Yes,High,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Long,Yes,High,Low,Yes,Some links,Reported,Phish
Yes,Short,,Yes,No,Yes,One,Long,No,No,No,No,Medium,High,Empty,No,No,Yes,No,Yes,No,Yes,,Yes,High,High,Yes,Some links,Not reported,Phish
Yes,Short,Yes,Yes,No,Yes,More than one,Short,No,No,Yes,Yes,,Low,,No,No,Yes,No,Yes,No,Yes,Long,No,High,High,Yes,Two links and above,Not reported,Phish
No,Short,No,Yes,No,No,None,Short,Yes,Yes,,Yes,High,Medium,Empty,,No,Yes,Yes,Yes,Yes,Yes,Short,No,High,Low,Yes,No links,Not reported,Phish
Yes,Long,Yes,Yes,Yes,No,One,Short,Yes,Yes,Yes,Yes,Medium,High,Some,,Yes,No,Yes,Yes,Yes,Yes,Short,No,,High,Yes,No links,Reported,Phish
Yes,Short,Yes,Yes,Yes,Yes,None,Short,Yes,Yes,Yes,Yes,,Medium,Empty,Yes,Yes,No,Yes,Yes,Yes,Yes,Short,No,High,Low,Yes,No links,Reported,Phish
